OriginalOrder,Date,Year,Month,Julian,max.F,min.F,precip.in,max.C,min.C,precip.mm,mean.C,rain.mm,snow.mm,SnowDepth.mm
22,2/9/1904,1904,Feb,40,18,-7,0.1,-7.777777778,-21.66666667,2.54,-14.72222222,4.81E-06,2.539995194,1447.8
23,2/10/1904,1904,Feb,41,22,-16,0,-5.555555556,-26.66666667,0,-16.11111111,0,0,1498.6
24,2/11/1904,1904,Feb,42,32,12,0.1,0,-11.11111111,2.54,-5.555555556,0.007334455,2.532665545,1574.8
25,2/12/1904,1904,Feb,43,28,23,0.2,-2.222222222,-5,5.08,-3.611111111,0.068755089,5.011244911,1981.2
26,2/13/1904,1904,Feb,44,27,14,0.28,-2.777777778,-10,7.112,-6.388888889,0.010558613,7.101441387,1981.2
27,2/14/1904,1904,Feb,45,21,-1,0.1,-6.111111111,-18.33333333,2.54,-12.22222222,3.55E-05,2.539964488,1930.4
28,2/15/1904,1904,Feb,46,35,16,0.16,1.666666667,-8.888888889,4.064,-3.611111111,0.055004071,4.008995929,1905
29,2/16/1904,1904,Feb,47,38,20,0.42,3.333333333,-6.666666667,10.668,-1.666666667,0.651119791,10.01688021,1879.6
30,2/17/1904,1904,Feb,48,31,-1,0,-0.555555556,-18.33333333,0,-9.444444444,0,0,NA
31,2/18/1904,1904,Feb,49,23,-23,0,-5,-30.55555556,0,-17.77777778,0,0,1778
32,2/19/1904,1904,Feb,50,20,-26,0,-6.666666667,-32.22222222,0,-19.44444444,0,0,1727.2
33,2/20/1904,1904,Feb,51,30,9,0.15,-1.111111111,-12.77777778,3.81,-6.944444444,0.003628706,3.806371294,1676.4
34,2/21/1904,1904,Feb,52,25,-2,0.1,-3.888888889,-18.88888889,2.54,-11.38888889,6.92E-05,2.539930832,1625.6
35,2/22/1904,1904,Feb,53,42,23,0.1,5.555555556,-5,2.54,0.277777778,0.598048062,1.941951938,1651
36,2/23/1904,1904,Feb,54,35,19,0.18,1.666666667,-7.222222222,4.572,-2.777777778,0.118998562,4.453001438,1625.6
37,2/24/1904,1904,Feb,55,35,18,0.23,1.666666667,-7.777777778,5.842,-3.055555556,0.122389855,5.719610145,1549.4
38,2/25/1904,1904,Feb,56,37,26,0.05,2.777777778,-3.333333333,1.27,-0.277777778,0.209421256,1.060578744,1524
39,2/26/1904,1904,Feb,57,40,13,0.1,4.444444444,-10.55555556,2.54,-3.055555556,0.05321298,2.48678702,1447.8
40,2/27/1904,1904,Feb,58,35,18,0,1.666666667,-7.777777778,0,-3.055555556,0,0,1371.6
41,2/28/1904,1904,Feb,59,28,11,0,-2.222222222,-11.66666667,0,-6.944444444,0,0,1320.8
42,2/29/1904,1904,Feb,60,21,17,0.1,-6.111111111,-8.333333333,2.54,-7.222222222,0.001937461,2.538062539,1270
43,3/1/1904,1904,Mar,61,25,19,0.2,-3.888888889,-7.222222222,5.08,-5.555555556,0.014668911,5.065331089,1193.8
44,3/2/1904,1904,Mar,62,31,11,0,-0.555555556,-11.66666667,0,-6.111111111,0,0,1143
45,3/3/1904,1904,Mar,63,20,-17,0.2,-6.666666667,-27.22222222,5.08,-16.94444444,1.62E-06,5.079998375,939.8
46,3/4/1904,1904,Mar,64,32,16,0.5,0,-8.888888889,12.7,-4.444444444,0.088835136,12.61116486,889
47,3/5/1904,1904,Mar,65,32,0,0,0,-17.77777778,0,-8.888888889,0,0,838.2
48,3/6/1904,1904,Mar,66,36,16,0,2.222222222,-8.888888889,0,-3.333333333,0,0,812.8
49,3/7/1904,1904,Mar,67,41,28,0.1,5,-2.222222222,2.54,1.388888889,1.087820804,1.452179196,812.8
50,3/8/1904,1904,Mar,68,37,30,0.35,2.777777778,-1.111111111,8.89,0.833333333,2.884482089,6.005517911,787.4
51,3/9/1904,1904,Mar,69,33,20,0.13,0.555555556,-6.666666667,3.302,-3.055555556,0.069176874,3.232823126,NA
52,3/10/1904,1904,Mar,70,31,2,0,-0.555555556,-16.66666667,0,-8.611111111,0,0,NA
53,3/11/1904,1904,Mar,71,33,20,0.17,0.555555556,-6.666666667,4.318,-3.055555556,0.090462067,4.227537933,NA
54,3/12/1904,1904,Mar,72,29,0,0,-1.666666667,-17.77777778,0,-9.722222222,0,0,NA
55,3/13/1904,1904,Mar,73,32,8,0.05,0,-13.33333333,1.27,-6.666666667,0.00151021,1.26848979,NA
56,3/14/1904,1904,Mar,74,30,11,0.05,-1.111111111,-11.66666667,1.27,-6.388888889,0.001885467,1.268114533,NA
57,3/15/1904,1904,Mar,75,31,21,0.2,-0.555555556,-6.111111111,5.08,-3.333333333,0.085576491,4.994423509,NA
58,3/16/1904,1904,Mar,76,35,-10,0,1.666666667,-23.33333333,0,-10.83333333,0,0,NA
59,3/17/1904,1904,Mar,77,32,20,0.05,0,-6.666666667,1.27,-3.333333333,0.021394123,1.248605877,NA
60,3/18/1904,1904,Mar,78,37,26,0.13,2.777777778,-3.333333333,3.302,-0.277777778,0.544495265,2.757504735,NA
61,3/19/1904,1904,Mar,79,35,20,0.12,1.666666667,-6.666666667,3.048,-2.5,0.098436576,2.949563424,NA
62,3/20/1904,1904,Mar,80,33,15,0.55,0.555555556,-9.444444444,13.97,-4.444444444,0.097718649,13.87228135,NA
63,3/21/1904,1904,Mar,81,20,5,0.24,-6.666666667,-15,6.096,-10.83333333,0.000258898,6.095741102,NA
64,3/22/1904,1904,Mar,82,33,10,0.05,0.555555556,-12.22222222,1.27,-5.833333333,0.002938177,1.267061823,NA
65,3/23/1904,1904,Mar,83,35,18,0.2,1.666666667,-7.777777778,5.08,-3.055555556,0.106425961,4.973574039,NA
66,3/24/1904,1904,Mar,84,30,9,0.25,-1.111111111,-12.77777778,6.35,-6.944444444,0.006047843,6.343952157,NA
67,3/25/1904,1904,Mar,85,31,-17,0,-0.555555556,-27.22222222,0,-13.88888889,0,0,NA
68,3/26/1904,1904,Mar,86,28,7,0.08,-2.222222222,-13.88888889,2.032,-8.055555556,0.000796076,2.031203924,NA
69,3/27/1904,1904,Mar,87,35,-15,0,1.666666667,-26.11111111,0,-12.22222222,0,0,NA
70,3/28/1904,1904,Mar,88,38,18,0,3.333333333,-7.777777778,0,-2.222222222,0,0,NA
71,3/29/1904,1904,Mar,89,37,21,0,2.777777778,-6.111111111,0,-1.666666667,0,0,NA
72,3/30/1904,1904,Mar,90,37,22,0,2.777777778,-5.555555556,0,-1.388888889,0,0,NA
73,3/31/1904,1904,Mar,91,45,14,0,7.222222222,-10,0,-1.388888889,0,0,NA
74,4/1/1904,1904,Apr,92,44,-5,0,6.666666667,-20.55555556,0,-6.944444444,0,0,NA
75,4/2/1904,1904,Apr,93,48,4,0,8.888888889,-15.55555556,0,-3.333333333,0,0,NA
76,4/3/1904,1904,Apr,94,47,5,0,8.333333333,-15,0,-3.333333333,0,0,NA
77,4/4/1904,1904,Apr,95,41,20,0.07,5,-6.666666667,1.778,-0.833333333,0.199810056,1.578189944,NA
78,4/5/1904,1904,Apr,96,38,7,0,3.333333333,-13.88888889,0,-5.277777778,0,0,NA
79,4/6/1904,1904,Apr,97,34,22,0.13,1.111111111,-5.555555556,3.302,-2.222222222,0.132115007,3.169884993,NA
80,4/7/1904,1904,Apr,98,31,0,0,-0.555555556,-17.77777778,0,-9.166666667,0,0,NA
81,4/8/1904,1904,Apr,99,42,4,0,5.555555556,-15.55555556,0,-5,0,0,NA
82,4/9/1904,1904,Apr,100,48,16,0,8.888888889,-8.888888889,0,0,0,0,NA
83,4/10/1904,1904,Apr,101,53,20,0,11.66666667,-6.666666667,0,2.5,0,0,NA
84,4/11/1904,1904,Apr,102,55,21,0,12.77777778,-6.111111111,0,3.333333333,0,0,NA
85,4/12/1904,1904,Apr,103,62,19,0,16.66666667,-7.222222222,0,4.722222222,0,0,NA
86,4/13/1904,1904,Apr,104,64,18,0,17.77777778,-7.777777778,0,5,0,0,NA
87,4/14/1904,1904,Apr,105,61,24,0,16.11111111,-4.444444444,0,5.833333333,0,0,NA
88,4/15/1904,1904,Apr,106,54,25,0.15,12.22222222,-3.888888889,3.81,4.166666667,3.32848424,0.48151576,NA
89,4/16/1904,1904,Apr,107,40,20,0.2,4.444444444,-6.666666667,5.08,-1.111111111,0.467600632,4.612399368,NA
90,4/17/1904,1904,Apr,108,53,21,0,11.66666667,-6.111111111,0,2.777777778,0,0,NA
91,4/18/1904,1904,Apr,109,60,15,0,15.55555556,-9.444444444,0,3.055555556,0,0,NA
92,4/19/1904,1904,Apr,110,50,33,0.08,10,0.555555556,2.032,5.277777778,1.917933527,0.114066473,NA
93,4/20/1904,1904,Apr,111,42,28,0.04,5.555555556,-2.222222222,1.016,1.666666667,0.491072935,0.524927065,NA
94,4/21/1904,1904,Apr,112,38,25,NA,3.333333333,-3.888888889,NA,-0.277777778,NA,NA,NA
95,4/22/1904,1904,Apr,113,38,27,0.06,3.333333333,-2.777777778,1.524,0.277777778,0.358828837,1.165171163,NA
96,4/23/1904,1904,Apr,114,54,15,0.15,12.22222222,-9.444444444,3.81,1.388888889,1.631731206,2.178268794,NA
97,4/24/1904,1904,Apr,115,39,25,0.06,3.888888889,-3.888888889,1.524,0,0.301471754,1.222528246,NA
98,4/25/1904,1904,Apr,116,57,17,0,13.88888889,-8.333333333,0,2.777777778,0,0,NA
99,4/26/1904,1904,Apr,117,69,24,0,20.55555556,-4.444444444,0,8.055555556,0,0,NA
100,4/27/1904,1904,Apr,118,70,28,0,21.11111111,-2.222222222,0,9.444444444,0,0,NA
101,4/28/1904,1904,Apr,119,50,26,0,10,-3.333333333,0,3.333333333,0,0,NA
102,4/29/1904,1904,Apr,120,45,20,0,7.222222222,-6.666666667,0,0.277777778,0,0,NA
103,4/30/1904,1904,Apr,121,58,21,0,14.44444444,-6.111111111,0,4.166666667,0,0,NA
104,5/1/1904,1904,May,122,60,24,0,15.55555556,-4.444444444,0,5.555555556,0,0,NA
105,5/2/1904,1904,May,123,53,31,NA,11.66666667,-0.555555556,NA,5.555555556,NA,NA,NA
106,5/3/1904,1904,May,124,54,35,NA,12.22222222,1.666666667,NA,6.944444444,NA,NA,NA
107,5/4/1904,1904,May,125,47,29,0.1,8.333333333,-1.666666667,2.54,3.333333333,1.98163587,0.55836413,NA
108,5/5/1904,1904,May,126,46,27,0,7.777777778,-2.777777778,0,2.5,0,0,NA
109,5/6/1904,1904,May,127,41,27,0.1,5,-2.777777778,2.54,1.111111111,0.952330052,1.587669948,NA
110,5/7/1904,1904,May,128,40,22,0.13,4.444444444,-5.555555556,3.302,-0.555555556,0.450810514,2.851189486,NA
111,5/8/1904,1904,May,129,46,13,0,7.777777778,-10.55555556,0,-1.388888889,0,0,NA
112,5/9/1904,1904,May,130,50,30,0.08,10,-1.111111111,2.032,4.444444444,1.821051542,0.210948458,NA
113,5/10/1904,1904,May,131,53,15,0,11.66666667,-9.444444444,0,1.111111111,0,0,NA
114,5/11/1904,1904,May,132,48,19,0,8.888888889,-7.222222222,0,0.833333333,0,0,NA
115,5/12/1904,1904,May,133,50,26,0,10,-3.333333333,0,3.333333333,0,0,NA
116,5/13/1904,1904,May,134,55,16,0,12.77777778,-8.888888889,0,1.944444444,0,0,NA
117,5/14/1904,1904,May,135,62,27,0.12,16.66666667,-2.777777778,3.048,6.944444444,3.000953809,0.047046191,NA
118,5/15/1904,1904,May,136,49,28,0,9.444444444,-2.222222222,0,3.611111111,0,0,NA
119,5/16/1904,1904,May,137,59,20,0,15,-6.666666667,0,4.166666667,0,0,NA
120,5/17/1904,1904,May,138,63,25,NA,17.22222222,-3.888888889,NA,6.666666667,NA,NA,NA
121,5/18/1904,1904,May,139,66,32,NA,18.88888889,0,NA,9.444444444,NA,NA,NA
122,5/19/1904,1904,May,140,72,37,0,22.22222222,2.777777778,0,12.5,0,0,NA
123,5/20/1904,1904,May,141,70,40,NA,21.11111111,4.444444444,NA,12.77777778,NA,NA,NA
124,5/21/1904,1904,May,142,62,33,0,16.66666667,0.555555556,0,8.611111111,0,0,NA
125,5/22/1904,1904,May,143,63,32,0,17.22222222,0,0,8.611111111,0,0,NA
126,5/23/1904,1904,May,144,61,38,0,16.11111111,3.333333333,0,9.722222222,0,0,NA
127,5/24/1904,1904,May,145,55,35,0,12.77777778,1.666666667,0,7.222222222,0,0,NA
128,5/25/1904,1904,May,146,41,23,0.1,5,-5,2.54,0,0.502452923,2.037547077,NA
129,5/26/1904,1904,May,147,54,16,0,12.22222222,-8.888888889,0,1.666666667,0,0,NA
130,5/27/1904,1904,May,148,60,21,0,15.55555556,-6.111111111,0,4.722222222,0,0,NA
131,5/28/1904,1904,May,149,62,27,0,16.66666667,-2.777777778,0,6.944444444,0,0,NA
132,5/29/1904,1904,May,150,63,30,0.1,17.22222222,-1.111111111,2.54,8.055555556,2.523734431,0.016265569,NA
133,5/30/1904,1904,May,151,60,30,NA,15.55555556,-1.111111111,NA,7.222222222,NA,NA,NA
134,5/31/1904,1904,May,152,56,31,NA,13.33333333,-0.555555556,NA,6.388888889,NA,NA,NA
135,6/1/1904,1904,Jun,153,47,33,0.07,8.333333333,0.555555556,1.778,4.444444444,1.593420099,0.184579901,NA
136,6/2/1904,1904,Jun,154,46,33,0,7.777777778,0.555555556,0,4.166666667,0,0,NA
137,6/3/1904,1904,Jun,155,48,34,0.07,8.888888889,1.111111111,1.778,5,1.655071889,0.122928111,NA
138,6/4/1904,1904,Jun,156,56,33,0.03,13.33333333,0.555555556,0.762,6.944444444,0.750238452,0.011761548,NA
139,6/5/1904,1904,Jun,157,53,36,0,11.66666667,2.222222222,0,6.944444444,0,0,NA
140,6/6/1904,1904,Jun,158,58,28,0,14.44444444,-2.222222222,0,6.111111111,0,0,NA
141,6/7/1904,1904,Jun,159,75,27,0.19,23.88888889,-2.777777778,4.826,10.55555556,4.821794232,0.004205768,NA
142,6/8/1904,1904,Jun,160,57,18,0,13.88888889,-7.777777778,0,3.055555556,0,0,NA
143,6/9/1904,1904,Jun,161,57,27,0,13.88888889,-2.777777778,0,5.555555556,0,0,NA
144,6/10/1904,1904,Jun,162,56,31,0,13.33333333,-0.555555556,0,6.388888889,0,0,NA
145,6/11/1904,1904,Jun,163,59,23,0,15,-5,0,5,0,0,NA
146,6/12/1904,1904,Jun,164,58,22,0,14.44444444,-5.555555556,0,4.444444444,0,0,NA
147,6/13/1904,1904,Jun,165,60,26,0,15.55555556,-3.333333333,0,6.111111111,0,0,NA
148,6/14/1904,1904,Jun,166,65,28,0,18.33333333,-2.222222222,0,8.055555556,0,0,NA
149,6/15/1904,1904,Jun,167,70,30,0,21.11111111,-1.111111111,0,10,0,0,NA
150,6/16/1904,1904,Jun,168,NA,34,0,NA,1.111111111,0,NA,NA,NA,NA
151,6/17/1904,1904,Jun,169,75,31,0,23.88888889,-0.555555556,0,11.66666667,0,0,NA
152,6/18/1904,1904,Jun,170,71,36,0,21.66666667,2.222222222,0,11.94444444,0,0,NA
153,6/19/1904,1904,Jun,171,66,36,0,18.88888889,2.222222222,0,10.55555556,0,0,NA
154,6/20/1904,1904,Jun,172,61,32,0,16.11111111,0,0,8.055555556,0,0,NA
155,6/21/1904,1904,Jun,173,73,30,0,22.77777778,-1.111111111,0,10.83333333,0,0,NA
156,6/22/1904,1904,Jun,174,69,33,0,20.55555556,0.555555556,0,10.55555556,0,0,NA
157,6/23/1904,1904,Jun,175,68,41,0,20,5,0,12.5,0,0,NA
158,6/24/1904,1904,Jun,176,69,28,0,20.55555556,-2.222222222,0,9.166666667,0,0,NA
159,6/25/1904,1904,Jun,177,55,22,0,12.77777778,-5.555555556,0,3.611111111,0,0,NA
160,6/26/1904,1904,Jun,178,60,25,0,15.55555556,-3.888888889,0,5.833333333,0,0,NA
161,6/27/1904,1904,Jun,179,62,27,0,16.66666667,-2.777777778,0,6.944444444,0,0,NA
162,6/28/1904,1904,Jun,180,73,32,0,22.77777778,0,0,11.38888889,0,0,NA
163,6/29/1904,1904,Jun,181,75,31,0,23.88888889,-0.555555556,0,11.66666667,0,0,NA
164,6/30/1904,1904,Jun,182,81,34,0.12,27.22222222,1.111111111,3.048,14.16666667,3.047852088,0.000147912,NA
165,7/1/1904,1904,Jul,183,67,39,NA,19.44444444,3.888888889,NA,11.66666667,NA,NA,NA
166,7/2/1904,1904,Jul,184,65,35,0.03,18.33333333,1.666666667,0.762,10,0.760964808,0.001035192,NA
167,7/3/1904,1904,Jul,185,63,36,0.08,17.22222222,2.222222222,2.032,9.722222222,2.028553702,0.003446298,NA
168,7/4/1904,1904,Jul,186,67,33,0.01,19.44444444,0.555555556,0.254,10,0.253654936,0.000345064,NA
169,7/5/1904,1904,Jul,187,60,41,0.14,15.55555556,5,3.556,10.27777778,3.552130673,0.003869327,NA
170,7/6/1904,1904,Jul,188,63,30,0,17.22222222,-1.111111111,0,8.055555556,0,0,NA
171,7/7/1904,1904,Jul,189,68,33,0,20,0.555555556,0,10.27777778,0,0,NA
172,7/8/1904,1904,Jul,190,67,40,NA,19.44444444,4.444444444,NA,11.94444444,NA,NA,NA
173,7/9/1904,1904,Jul,191,74,37,0,23.33333333,2.777777778,0,13.05555556,0,0,NA
174,7/10/1904,1904,Jul,192,78,36,0,25.55555556,2.222222222,0,13.88888889,0,0,NA
175,7/11/1904,1904,Jul,193,75,35,0,23.88888889,1.666666667,0,12.77777778,0,0,NA
176,7/12/1904,1904,Jul,194,75,41,0.79,23.88888889,5,20.066,14.44444444,20.06522027,0.000779726,NA
177,7/13/1904,1904,Jul,195,69,42,0.01,20.55555556,5.555555556,0.254,13.05555556,0.25397002,3.00E-05,NA
178,7/14/1904,1904,Jul,196,70,30,0.01,21.11111111,-1.111111111,0.254,10,0.253654936,0.000345064,NA
179,7/15/1904,1904,Jul,197,65,37,0,18.33333333,2.777777778,0,10.55555556,0,0,NA
180,7/16/1904,1904,Jul,198,61,34,0,16.11111111,1.111111111,0,8.611111111,0,0,NA
181,7/17/1904,1904,Jul,199,67,29,0,19.44444444,-1.666666667,0,8.888888889,0,0,NA
182,7/18/1904,1904,Jul,200,65,30,0,18.33333333,-1.111111111,0,8.611111111,0,0,NA
183,7/19/1904,1904,Jul,201,76,30,0,24.44444444,-1.111111111,0,11.66666667,0,0,NA
184,7/20/1904,1904,Jul,202,85,36,0.18,29.44444444,2.222222222,4.572,15.83333333,4.571941514,5.85E-05,NA
185,7/21/1904,1904,Jul,203,72,35,0.01,22.22222222,1.666666667,0.254,11.94444444,0.253927088,7.29E-05,NA
186,7/22/1904,1904,Jul,204,73,40,0,22.77777778,4.444444444,0,13.61111111,0,0,NA
187,7/23/1904,1904,Jul,205,76,37,0,24.44444444,2.777777778,0,13.61111111,0,0,NA
188,7/24/1904,1904,Jul,206,79,40,0,26.11111111,4.444444444,0,15.27777778,0,0,NA
189,7/25/1904,1904,Jul,207,74,37,0,23.33333333,2.777777778,0,13.05555556,0,0,NA
190,7/26/1904,1904,Jul,208,82,36,0,27.77777778,2.222222222,0,15,0,0,NA
191,7/27/1904,1904,Jul,209,71,40,0.73,21.66666667,4.444444444,18.542,13.05555556,18.53981147,0.002188532,NA
192,7/28/1904,1904,Jul,210,70,40,0.57,21.11111111,4.444444444,14.478,12.77777778,14.47586596,0.002134038,NA
193,7/29/1904,1904,Jul,211,60,44,0,15.55555556,6.666666667,0,11.11111111,0,0,NA
194,7/30/1904,1904,Jul,212,65,29,0,18.33333333,-1.666666667,0,8.333333333,0,0,NA
195,7/31/1904,1904,Jul,213,73,33,0,22.77777778,0.555555556,0,11.66666667,0,0,NA
196,8/1/1904,1904,Aug,214,74,33,0,23.33333333,0.555555556,0,11.94444444,0,0,NA
197,8/2/1904,1904,Aug,215,77,35,0,25,1.666666667,0,13.33333333,0,0,NA
198,8/3/1904,1904,Aug,216,81,41,0,27.22222222,5,0,16.11111111,0,0,NA
199,8/4/1904,1904,Aug,217,77,35,0,25,1.666666667,0,13.33333333,0,0,NA
200,8/5/1904,1904,Aug,218,82,36,0,27.77777778,2.222222222,0,15,0,0,NA
201,8/6/1904,1904,Aug,219,80,34,0,26.66666667,1.111111111,0,13.88888889,0,0,NA
202,8/7/1904,1904,Aug,220,77,34,0,25,1.111111111,0,13.05555556,0,0,NA
203,8/8/1904,1904,Aug,221,77,NA,0,25,NA,0,NA,NA,NA,NA
204,8/9/1904,1904,Aug,222,75,33,0,23.88888889,0.555555556,0,12.22222222,0,0,NA
205,8/10/1904,1904,Aug,223,73,46,0.04,22.77777778,7.777777778,1.016,15.27777778,1.01597973,2.03E-05,NA
206,8/11/1904,1904,Aug,224,75,38,0,23.88888889,3.333333333,0,13.61111111,0,0,NA
207,8/12/1904,1904,Aug,225,75,38,0,23.88888889,3.333333333,0,13.61111111,0,0,NA
208,8/13/1904,1904,Aug,226,73,44,0,22.77777778,6.666666667,0,14.72222222,0,0,NA
209,8/14/1904,1904,Aug,227,80,40,0,26.66666667,4.444444444,0,15.55555556,0,0,NA
210,8/15/1904,1904,Aug,228,74,47,0,23.33333333,8.333333333,0,15.83333333,0,0,NA
211,8/16/1904,1904,Aug,229,73,40,0,22.77777778,4.444444444,0,13.61111111,0,0,NA
212,8/17/1904,1904,Aug,230,71,44,0.32,21.66666667,6.666666667,8.128,14.16666667,8.127605569,0.000394431,NA
213,8/18/1904,1904,Aug,231,75,38,0.3,23.88888889,3.333333333,7.62,13.61111111,7.6194233,0.0005767,NA
214,8/19/1904,1904,Aug,232,75,34,0.03,23.88888889,1.111111111,0.762,12.5,0.761859737,0.000140263,NA
215,8/20/1904,1904,Aug,233,71,38,0.02,21.66666667,3.333333333,0.508,12.5,0.507906491,9.35E-05,NA
216,8/21/1904,1904,Aug,234,57,24,0,13.88888889,-4.444444444,0,4.722222222,0,0,NA
217,8/22/1904,1904,Aug,235,NA,25,0,NA,-3.888888889,0,NA,NA,NA,NA
218,8/23/1904,1904,Aug,236,86,31,0.01,30,-0.555555556,0.254,14.72222222,0.253992097,7.90E-06,NA
219,8/24/1904,1904,Aug,237,70,40,0,21.11111111,4.444444444,0,12.77777778,0,0,NA
220,8/25/1904,1904,Aug,238,68,32,0,20,0,0,10,0,0,NA
221,8/26/1904,1904,Aug,239,67,35,0.02,19.44444444,1.666666667,0.508,10.55555556,0.507557288,0.000442712,NA
222,8/27/1904,1904,Aug,240,69,40,0,20.55555556,4.444444444,0,12.5,0,0,NA
223,8/28/1904,1904,Aug,241,65,47,0.4,18.33333333,8.333333333,10.16,13.33333333,10.15903974,0.000960264,NA
224,8/29/1904,1904,Aug,242,65,43,0.32,18.33333333,6.111111111,8.128,12.22222222,8.126131637,0.001868363,NA
225,8/30/1904,1904,Aug,243,62,43,0.08,16.66666667,6.111111111,2.032,11.38888889,2.03109043,0.00090957,NA
226,8/31/1904,1904,Aug,244,62,35,0,16.66666667,1.666666667,0,9.166666667,0,0,NA
227,9/1/1904,1904,Sep,245,59,31,0.03,15,-0.555555556,0.762,7.222222222,0.752553033,0.009446967,NA
228,9/2/1904,1904,Sep,246,59,27,0,15,-2.777777778,0,6.111111111,0,0,NA
229,9/3/1904,1904,Sep,247,65,28,0,18.33333333,-2.222222222,0,8.055555556,0,0,NA
230,9/4/1904,1904,Sep,248,75,30,0,23.88888889,-1.111111111,0,11.38888889,0,0,NA
231,9/5/1904,1904,Sep,249,73,31,0,22.77777778,-0.555555556,0,11.11111111,0,0,NA
232,9/6/1904,1904,Sep,250,75,33,0,23.88888889,0.555555556,0,12.22222222,0,0,NA
233,9/7/1904,1904,Sep,251,72,34,0,22.22222222,1.111111111,0,11.66666667,0,0,NA
234,9/8/1904,1904,Sep,252,NA,NA,0,NA,NA,0,NA,NA,NA,NA
235,9/9/1904,1904,Sep,253,78,36,0,25.55555556,2.222222222,0,13.88888889,0,0,NA
236,9/10/1904,1904,Sep,254,68,40,0,20,4.444444444,0,12.22222222,0,0,NA
237,9/11/1904,1904,Sep,255,64,28,0,17.77777778,-2.222222222,0,7.777777778,0,0,NA
238,9/12/1904,1904,Sep,256,60,39,0,15.55555556,3.888888889,0,9.722222222,0,0,NA
239,9/13/1904,1904,Sep,257,58,24,0,14.44444444,-4.444444444,0,5,0,0,NA
240,9/14/1904,1904,Sep,258,66,25,0,18.88888889,-3.888888889,0,7.5,0,0,NA
241,9/15/1904,1904,Sep,259,68,21,0,20,-6.111111111,0,6.944444444,0,0,NA
242,9/16/1904,1904,Sep,260,70,28,0,21.11111111,-2.222222222,0,9.444444444,0,0,NA
243,9/17/1904,1904,Sep,261,70,30,0,21.11111111,-1.111111111,0,10,0,0,NA
244,9/18/1904,1904,Sep,262,65,44,0,18.33333333,6.666666667,0,12.5,0,0,NA
245,9/19/1904,1904,Sep,263,64,32,0,17.77777778,0,0,8.888888889,0,0,NA
246,9/20/1904,1904,Sep,264,NA,31,NA,NA,-0.555555556,NA,NA,NA,NA,NA
247,9/21/1904,1904,Sep,265,59,32,0.02,15,0,0.508,7.5,0.502944485,0.005055515,NA
248,9/22/1904,1904,Sep,266,61,31,0,16.11111111,-0.555555556,0,7.777777778,0,0,NA
249,9/23/1904,1904,Sep,267,NA,31,0,NA,-0.555555556,0,NA,NA,NA,NA
250,9/24/1904,1904,Sep,268,55,26,0,12.77777778,-3.333333333,0,4.722222222,0,0,NA
