Year,MinSpring,MaxSpring,PrecipSpring,MinSummer,MaxSummer,PrecipSummer,MinFall,MaxFall,PrecipFall
1968,-33.8,31.2,7.0866,8.2,61.2,17.2212,-53.8,25.2,6.5024
1969,-43.8,29.2,4.1148,8.2,73.2,21.0312,-36.8,37.2,6.35
1970,-39.8,22.2,15.9512,10.2,67.2,8.3312,-41.8,24.2,15.3162
1971,-50.8,27.2,12.8778,0,66.2,5.207,-41.8,32.2,10.2108
1972,-39.8,35.2,8.255,4.2,65.2,12.7,-55.8,41.2,9.652
1973,-36.8,26.2,7.2644,1.2,62.2,8.9916,-34.8,46.2,14.0716
1974,-54.8,27.2,16.0782,0.2,64.2,6.477,-45.8,47.2,9.5758
1975,-44.8,28.2,12.6492,2.2,64.2,15.3924,-44.8,48.2,22.4028
1976,-52.8,0,7.1882,-0.8,63.2,6.985,-15.8,49.2,3.3782
1977,-47.8,0,4.3434,0,70.2,6.8326,0,0,0
1978,0,0,0,0,64.2,5.207,-59.8,48.2,13.1318
1979,-40.8,28.2,7.7978,2.2,65.2,11.5316,-37.8,50.2,7.2136
1980,-37.8,25.2,15.9258,7.2,63.2,15.7226,-28.8,51.2,8.509
1981,-24.8,31.2,18.3642,4.2,62.2,13.8938,-32.8,41.2,17.0434
1982,-35.8,24.2,16.1798,4.2,64.2,14.5288,-39.8,42.2,13.3604
1983,-35.8,32.2,8.255,4.2,64.2,14.1224,-59.8,41.2,17.8054
1984,-45.8,23.2,9.9568,1.2,61.2,16.8148,-43.8,45.2,7.7978
1985,-46.8,28.2,14.5542,2.2,65.2,20.7264,-36.8,36.2,13.1064
1986,-34.8,40.2,13.6652,0,61.2,15.2908,-38.8,43.2,9.4742
1987,-35.8,32.2,13.2334,5.2,61.2,17.145,-42.8,54.2,5.6134
1988,-41.8,27.2,13.1572,8.2,67.2,6.223,-37.8,52.2,10.922
1989,-55.8,33.2,17.272,4.2,68.2,12.8524,-40.8,51.2,10.0584
1990,-31.8,31.2,8.7122,8.2,64.2,16.5862,-60.8,51.2,10.5664
1991,-40.8,31.2,23.241,7.2,63.2,8.9408,-38.8,47.2,10.6426
1992,-26.8,31.2,12.6746,0.2,62.2,18.0086,-40.8,52.2,11.176
1993,-42.8,31.2,15.9512,4.2,56.2,20.0152,-37.8,49.2,5.207
1994,-27.8,32.2,12.065,5.2,64.2,12.7508,-37.8,41.2,14.8336
1995,-34.8,27.2,18.6182,5.2,63.2,18.6436,-35.8,43.2,16.7386
1996,-37.8,28.2,21.209,-1.8,64.2,10.0584,-23.8,51.2,10.8966
1997,-31.8,30.2,10.2362,10.2,61.2,19.8882,-27.8,50.2,8.6868
1998,-34.8,32.2,14.1986,5.2,66.2,20.9296,-51.8,50.2,11.1506
1999,-41.8,36.2,14.1732,4.2,61.2,19.5326,-27.8,48.2,10.3378
2000,-34.8,37.2,19.4564,4.2,69.2,5.9944,-32.8,42.2,10.8712
2001,-34.8,31.2,15.0114,0,66.2,5.6642,-28.8,52.2,14.0462
2002,-45.8,31.2,16.5608,4.2,69.2,13.1064,-29.8,38.2,8.9662
2003,-29.8,33.2,15.5956,3.2,74.2,8.1788,-27.8,50.2,11.2522
2004,-23.8,37.2,14.4526,6.2,62.2,21.082,-41.8,45.2,9.5758
2005,-22.8,36.2,13.4366,6.2,67.2,19.3548,-40.8,47.2,16.4084
2006,-38.8,29.2,14.3764,7.2,67.2,12.6492,-29.8,47.2,12.9794
2007,-13.8,0,8.4328,0,67.2,7.7216,-26.8,44.2,10.033
2008,-28.8,24.2,22.8346,5.2,69.2,11.6586,-29.8,52.2,11.2522
2009,-28.8,35.2,21.8948,9.2,65.2,19.6342,-23.8,42.2,8.5852
2010,-22.8,31.2,15.875,8.2,64.2,15.9766,-34.8,58.2,21.1836
2011,-25.8,27.2,20.0406,0,64.2,4.2672,-33.8,55.2,14.8844
2012,-25.8,36.2,16.6624,8.2,64.2,8.001,-28.8,47.2,16.2052
2013,-31.8,33.2,15.5702,8.2,64.2,7.8486,-38.8,38.2,11.8872
2014,-21.8,29.2,21.2344,10.2,61.2,19.939,-37.8,45.2,12.9032
2015,-35.8,36.2,12.8524,12.2,64.2,11.7094,-27.8,49.2,16.0528
2016,-31.8,29.2,13.6398,12.2,63.2,5.715,-40.8,40.2,23.6474
2017,-15.8,36.2,16.1036,10.2,64.2,11.9888,-30.8,41.2,16.4084
2018,-25.8,31.2,21.59,8.2,68.2,17.2466,-23.8,46.2,12.3698
2019,-38.8,36.2,15.113,5.2,62.2,12.0396,-27.8,39.2,10.1092
2020,-26.8,31.2,17.2466,8.2,67.2,6.3246,-26.8,49.2,12.3444
